treatment_cohort,attention_arm,cost_arm,arm_label,agent_id,persona,sensitivity,treatment_period,never_treated,treatment_period_encoded,sm_variant
1,viral,low,viral_5bps,A001,SocialMomentum,high,60,FALSE,60,v1
1,viral,low,viral_5bps,A002,LotterySeeker,high,60,FALSE,60,
3,normal,high,cost_only_15bps,A003,PassiveFollower,medium,60,FALSE,60,
2,viral,high,viral_15bps,A004,SkepticalContrarian,medium,60,FALSE,60,
2,viral,high,viral_15bps,A005,TechnicalTrader,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A006,DividendSeeker,low,60,FALSE,60,
2,viral,high,viral_15bps,A007,SocialMomentum,high,60,FALSE,60,v2
4,normal,low,control,A008,LotterySeeker,high,Inf,TRUE,0,
2,viral,high,viral_15bps,A009,PassiveFollower,medium,60,FALSE,60,
1,viral,low,viral_5bps,A010,SkepticalContrarian,medium,60,FALSE,60,
2,viral,high,viral_15bps,A011,TechnicalTrader,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A012,DividendSeeker,low,60,FALSE,60,
4,normal,low,control,A013,SocialMomentum,high,Inf,TRUE,0,v1
1,viral,low,viral_5bps,A014,LotterySeeker,high,60,FALSE,60,
4,normal,low,control,A015,PassiveFollower,medium,Inf,TRUE,0,
1,viral,low,viral_5bps,A016,SkepticalContrarian,medium,60,FALSE,60,
3,normal,high,cost_only_15bps,A017,TechnicalTrader,medium,60,FALSE,60,
1,viral,low,viral_5bps,A018,DividendSeeker,low,60,FALSE,60,
3,normal,high,cost_only_15bps,A019,SocialMomentum,high,60,FALSE,60,v3
3,normal,high,cost_only_15bps,A020,LotterySeeker,high,60,FALSE,60,
3,normal,high,cost_only_15bps,A021,PassiveFollower,medium,60,FALSE,60,
4,normal,low,control,A022,SkepticalContrarian,medium,Inf,TRUE,0,
4,normal,low,control,A023,TechnicalTrader,medium,Inf,TRUE,0,
4,normal,low,control,A024,DividendSeeker,low,Inf,TRUE,0,
3,normal,high,cost_only_15bps,A025,SocialMomentum,high,60,FALSE,60,v1
4,normal,low,control,A026,LotterySeeker,high,Inf,TRUE,0,
2,viral,high,viral_15bps,A027,PassiveFollower,medium,60,FALSE,60,
2,viral,high,viral_15bps,A028,SkepticalContrarian,medium,60,FALSE,60,
2,viral,high,viral_15bps,A029,TechnicalTrader,medium,60,FALSE,60,
2,viral,high,viral_15bps,A030,DividendSeeker,low,60,FALSE,60,
1,viral,low,viral_5bps,A031,SocialMomentum,high,60,FALSE,60,v2
