agent_id,persona,sensitivity,treatment_cohort,attention_arm,cost_arm,arm_label,treatment_period,never_treated,treatment_period_encoded,sm_variant
A001,SocialMomentum,high,1,viral,high,cohort1_t60,60,FALSE,60,
A002,LotterySeeker,high,2,viral,high,cohort2_t120,120,FALSE,120,
A003,PassiveFollower,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A004,SkepticalContrarian,medium,3,normal,low,control,Inf,TRUE,0,
A005,TechnicalTrader,medium,3,normal,low,control,Inf,TRUE,0,
A006,DividendSeeker,low,1,viral,high,cohort1_t60,60,FALSE,60,
A007,SocialMomentum,high,1,viral,high,cohort1_t60,60,FALSE,60,
A008,LotterySeeker,high,2,viral,high,cohort2_t120,120,FALSE,120,
A009,PassiveFollower,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A010,SkepticalContrarian,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A011,TechnicalTrader,medium,3,normal,low,control,Inf,TRUE,0,
A012,DividendSeeker,low,2,viral,high,cohort2_t120,120,FALSE,120,
A013,SocialMomentum,high,2,viral,high,cohort2_t120,120,FALSE,120,
A014,LotterySeeker,high,3,normal,low,control,Inf,TRUE,0,
A015,PassiveFollower,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A016,SkepticalContrarian,medium,3,normal,low,control,Inf,TRUE,0,
A017,TechnicalTrader,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A018,DividendSeeker,low,3,normal,low,control,Inf,TRUE,0,
A019,SocialMomentum,high,3,normal,low,control,Inf,TRUE,0,
A020,LotterySeeker,high,1,viral,high,cohort1_t60,60,FALSE,60,
A021,PassiveFollower,medium,3,normal,low,control,Inf,TRUE,0,
A022,SkepticalContrarian,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A023,TechnicalTrader,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A024,DividendSeeker,low,2,viral,high,cohort2_t120,120,FALSE,120,
A025,SocialMomentum,high,2,viral,high,cohort2_t120,120,FALSE,120,
A026,LotterySeeker,high,3,normal,low,control,Inf,TRUE,0,
A027,PassiveFollower,medium,3,normal,low,control,Inf,TRUE,0,
A028,SkepticalContrarian,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A029,TechnicalTrader,medium,3,normal,low,control,Inf,TRUE,0,
A030,DividendSeeker,low,2,viral,high,cohort2_t120,120,FALSE,120,
A031,SocialMomentum,high,1,viral,high,cohort1_t60,60,FALSE,60,
A032,LotterySeeker,high,1,viral,high,cohort1_t60,60,FALSE,60,
A033,PassiveFollower,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A034,SkepticalContrarian,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A035,TechnicalTrader,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A036,DividendSeeker,low,3,normal,low,control,Inf,TRUE,0,
A037,SocialMomentum,high,2,viral,high,cohort2_t120,120,FALSE,120,
A038,LotterySeeker,high,2,viral,high,cohort2_t120,120,FALSE,120,
A039,PassiveFollower,medium,3,normal,low,control,Inf,TRUE,0,
A040,SkepticalContrarian,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A041,TechnicalTrader,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A042,DividendSeeker,low,3,normal,low,control,Inf,TRUE,0,
A043,SocialMomentum,high,3,normal,low,control,Inf,TRUE,0,
A044,LotterySeeker,high,2,viral,high,cohort2_t120,120,FALSE,120,
A045,PassiveFollower,medium,3,normal,low,control,Inf,TRUE,0,
A046,SkepticalContrarian,medium,3,normal,low,control,Inf,TRUE,0,
A047,TechnicalTrader,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A048,DividendSeeker,low,2,viral,high,cohort2_t120,120,FALSE,120,
A049,SocialMomentum,high,3,normal,low,control,Inf,TRUE,0,
A050,LotterySeeker,high,2,viral,high,cohort2_t120,120,FALSE,120,
A051,PassiveFollower,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A052,SkepticalContrarian,medium,2,viral,high,cohort2_t120,120,FALSE,120,
A053,TechnicalTrader,medium,1,viral,high,cohort1_t60,60,FALSE,60,
A054,DividendSeeker,low,1,viral,high,cohort1_t60,60,FALSE,60,
A055,SocialMomentum,high,2,viral,high,cohort2_t120,120,FALSE,120,
A056,LotterySeeker,high,3,normal,low,control,Inf,TRUE,0,
A057,PassiveFollower,medium,2,viral,high,cohort2_t120,120,FALSE,120,
